student_id,age,gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,Pass
12296,19,male,b.tech,5.0,59.7,yes,6.6,average,mixed,low,moderate,66.8,Pass
12297,22,female,b.sc,1.05,51.3,no,9.6,average,online videos,low,hard,33.7,Fail
12298,24,male,bba,7.1,72.9,yes,8.4,average,coaching,low,easy,100.0,Pass
12299,23,female,bba,6.53,68.0,yes,5.5,good,online videos,high,easy,69.9,Pass
12300,22,male,diploma,5.23,92.9,yes,6.7,poor,self-study,medium,easy,66.4,Pass
12301,23,other,b.tech,1.86,45.3,yes,9.5,average,self-study,high,easy,46.5,Fail
12302,23,male,b.sc,7.7,42.7,yes,8.0,good,self-study,medium,moderate,83.5,Pass
12303,19,female,bba,6.83,50.4,yes,9.2,poor,group study,high,hard,76.6,Pass
12304,22,male,b.sc,5.72,80.3,yes,5.9,good,mixed,medium,easy,80.4,Pass
12305,18,other,b.com,2.92,59.5,yes,8.6,average,mixed,low,easy,53.0,Pass
12306,19,female,b.com,3.87,45.8,yes,4.8,good,online videos,low,easy,49.9,Fail
12307,24,female,bca,2.7,93.2,yes,9.1,average,self-study,medium,easy,66.0,Pass
12308,19,female,bca,6.8,85.7,no,7.3,good,coaching,medium,moderate,96.9,Pass
12309,23,female,bca,2.47,93.1,yes,4.3,average,self-study,low,easy,49.7,Fail
12310,20,female,ba,1.91,46.7,yes,5.6,poor,coaching,medium,easy,36.9,Fail
12311,18,male,ba,1.71,58.9,yes,7.0,good,mixed,low,hard,51.7,Pass
12312,17,other,ba,3.21,77.5,no,7.1,poor,group study,high,hard,66.1,Pass
12313,21,female,b.tech,4.98,44.7,yes,8.5,good,self-study,medium,moderate,47.6,Fail
12314,20,male,ba,6.65,99.4,yes,7.3,average,self-study,medium,hard,95.9,Pass
12315,21,male,b.sc,7.4,99.4,yes,8.7,good,group study,high,hard,100.0,Pass
12316,17,other,diploma,0.64,71.1,yes,8.9,average,coaching,low,easy,47.7,Fail
12317,19,male,b.sc,0.38,99.4,yes,7.6,poor,online videos,high,moderate,57.8,Pass
12318,17,other,b.tech,2.9,96.2,yes,5.3,average,coaching,high,easy,83.9,Pass
12319,19,other,diploma,6.48,76.5,yes,7.9,good,mixed,high,moderate,86.3,Pass
12320,24,other,b.sc,7.26,45.1,no,6.6,average,group study,high,moderate,86.5,Pass
12321,18,female,ba,1.35,47.6,no,4.5,good,self-study,high,easy,42.2,Fail
12322,22,male,b.com,2.29,57.8,yes,6.9,average,group study,high,hard,39.9,Fail
12323,17,male,b.sc,7.22,89.4,no,8.9,poor,online videos,low,easy,73.1,Pass
12324,21,male,ba,4.61,72.4,yes,6.6,average,group study,medium,easy,72.8,Pass
12325,24,female,bca,3.26,89.9,yes,6.2,average,coaching,medium,moderate,70.8,Pass
12326,19,female,b.tech,1.95,82.7,yes,5.2,good,self-study,medium,moderate,37.0,Fail
12327,18,other,bba,0.9,88.9,no,7.3,poor,mixed,low,hard,57.6,Pass
12328,21,male,diploma,0.87,55.9,yes,5.5,good,group study,high,hard,54.1,Pass
12329,19,female,b.com,5.39,82.0,yes,7.7,good,online videos,medium,moderate,85.7,Pass
12330,24,male,bba,5.76,44.6,yes,4.1,poor,mixed,high,hard,57.7,Pass
12331,23,female,diploma,2.93,81.4,yes,6.2,good,coaching,high,hard,83.3,Pass
12332,22,male,diploma,4.85,69.2,yes,8.6,average,self-study,medium,moderate,52.0,Pass
12333,22,female,bba,1.25,60.1,yes,4.2,good,self-study,high,easy,30.5,Fail
12334,21,female,diploma,0.17,81.8,yes,4.6,average,group study,low,hard,33.3,Fail
12335,22,other,bca,0.8,40.6,yes,9.8,poor,mixed,medium,moderate,32.7,Fail
12336,20,other,ba,0.85,86.3,yes,4.1,average,mixed,medium,moderate,47.3,Fail
12337,24,female,b.tech,7.88,72.1,yes,8.6,average,mixed,low,easy,63.7,Pass
12338,19,male,bca,1.89,65.8,yes,6.2,poor,coaching,medium,moderate,49.6,Fail
12339,17,other,b.com,1.07,71.8,yes,5.7,good,online videos,medium,moderate,24.8,Fail
12340,22,other,bca,6.36,56.3,yes,8.3,poor,self-study,high,easy,73.6,Pass
12341,22,other,bba,2.93,77.0,no,9.1,poor,coaching,high,moderate,45.9,Fail
12342,24,other,b.com,1.65,53.7,no,6.6,poor,online videos,high,easy,49.9,Fail
12343,20,other,bca,1.76,95.6,yes,4.1,poor,coaching,medium,moderate,59.3,Pass
12344,20,male,bba,1.11,86.8,yes,9.3,average,mixed,medium,moderate,60.7,Pass
12345,21,female,bca,0.64,93.0,yes,9.4,poor,mixed,high,easy,55.0,Pass
12346,20,female,diploma,5.44,82.9,yes,7.6,poor,self-study,low,moderate,71.9,Pass
12347,23,male,b.sc,3.52,44.9,yes,5.4,average,mixed,low,moderate,56.9,Pass
12348,20,male,bca,1.19,71.3,yes,9.8,average,self-study,low,easy,27.7,Fail
12349,23,male,b.tech,6.34,82.2,yes,6.6,average,self-study,medium,hard,58.4,Pass
12350,20,other,bba,0.15,77.0,yes,9.5,poor,mixed,high,hard,55.3,Pass
12351,18,other,b.sc,3.45,81.1,yes,5.5,poor,mixed,medium,easy,51.5,Pass
12352,24,other,b.sc,1.02,72.1,yes,9.5,average,coaching,medium,moderate,53.0,Pass
12353,21,male,b.sc,0.22,78.0,yes,8.5,good,coaching,high,moderate,65.9,Pass
12354,22,other,bca,4.41,73.6,no,6.7,poor,self-study,medium,moderate,70.9,Pass
12355,21,male,b.com,1.24,44.7,yes,4.3,good,coaching,high,moderate,54.9,Pass
12356,19,other,b.com,0.55,75.1,yes,6.3,good,online videos,low,moderate,52.8,Pass
12357,24,male,b.com,3.83,68.0,no,9.2,average,online videos,low,easy,61.2,Pass
12358,19,male,bba,6.75,70.3,no,8.0,average,online videos,high,moderate,74.4,Pass
12359,24,male,diploma,3.89,44.5,yes,5.8,average,mixed,high,moderate,65.1,Pass
12360,20,other,bba,0.64,94.2,yes,7.6,poor,self-study,low,easy,19.8,Fail
12361,17,female,b.tech,2.43,90.3,yes,9.6,good,self-study,medium,hard,78.2,Pass
12362,17,other,ba,3.57,43.0,yes,6.4,poor,group study,high,easy,42.3,Fail
12363,24,male,b.tech,2.25,94.0,yes,5.4,average,group study,low,hard,60.7,Pass
12364,21,other,b.sc,2.7,90.6,yes,9.1,poor,mixed,high,easy,62.6,Pass
12365,20,female,b.sc,4.0,86.6,no,7.2,poor,coaching,high,moderate,59.6,Pass
12366,23,female,bba,7.54,95.8,yes,7.4,average,group study,high,moderate,100.0,Pass
12367,21,other,diploma,6.44,79.6,yes,9.6,good,mixed,medium,hard,95.6,Pass
12368,22,male,b.sc,1.64,47.4,yes,6.4,good,online videos,low,moderate,30.4,Fail
12369,22,other,diploma,6.28,49.6,yes,8.4,poor,self-study,low,hard,66.5,Pass
12370,18,male,b.sc,3.16,44.3,yes,9.2,average,online videos,medium,hard,52.0,Pass
12371,17,female,b.com,6.53,65.2,yes,7.6,good,online videos,medium,moderate,74.8,Pass
12372,22,male,b.tech,4.94,49.8,yes,7.6,average,self-study,low,moderate,58.9,Pass
12373,17,female,b.tech,5.43,42.1,yes,7.0,good,online videos,high,easy,68.4,Pass
12374,22,female,bba,2.9,71.0,yes,4.5,good,online videos,high,easy,55.0,Pass
12375,18,female,b.com,5.71,58.4,yes,5.7,poor,coaching,low,moderate,66.7,Pass
12376,19,other,b.tech,4.53,51.9,yes,6.3,average,online videos,high,moderate,56.8,Pass
12377,22,other,ba,4.95,82.1,yes,5.5,good,group study,high,moderate,71.8,Pass
12378,21,other,b.com,4.38,74.4,yes,5.6,poor,mixed,low,hard,43.9,Fail
12379,23,female,b.com,0.45,73.1,yes,9.2,good,online videos,medium,hard,51.5,Pass
12380,21,male,diploma,3.79,61.2,yes,7.5,average,coaching,high,moderate,63.1,Pass
12381,17,male,b.com,0.41,85.3,yes,9.7,average,self-study,medium,moderate,51.5,Pass
12382,23,male,ba,1.35,49.1,yes,6.7,poor,online videos,low,moderate,27.9,Fail
12383,18,female,bba,3.8,66.7,no,7.8,good,coaching,high,easy,78.1,Pass
12384,18,male,diploma,3.25,63.2,yes,7.4,average,coaching,low,easy,68.2,Pass
12385,24,other,bca,0.38,87.8,yes,9.6,average,online videos,high,moderate,52.1,Pass
12386,18,other,ba,1.1,51.2,yes,4.7,average,online videos,high,hard,31.0,Fail
12387,21,male,b.com,3.72,99.2,yes,5.9,good,self-study,low,hard,68.3,Pass
12388,20,other,b.sc,7.74,49.5,yes,8.5,poor,online videos,low,moderate,74.1,Pass
12389,23,female,b.tech,3.89,66.4,yes,8.6,poor,self-study,medium,easy,61.2,Pass
12390,17,female,bca,6.18,76.4,yes,4.7,average,online videos,high,easy,72.0,Pass
12391,17,other,bca,3.54,65.4,yes,7.3,poor,mixed,low,moderate,75.8,Pass
12392,20,female,b.com,1.53,92.6,yes,5.5,average,self-study,low,hard,35.3,Fail
12393,20,male,diploma,0.17,78.7,yes,9.1,poor,self-study,low,easy,30.3,Fail
12394,23,female,diploma,3.0,80.9,yes,8.6,average,mixed,low,easy,59.8,Pass
12395,21,male,bba,7.36,92.9,yes,7.3,average,group study,high,moderate,100.0,Pass
12396,18,male,b.sc,2.6,47.7,yes,7.8,average,mixed,low,moderate,51.0,Pass
12397,24,other,ba,2.95,66.8,yes,9.6,poor,self-study,high,moderate,72.0,Pass
12398,20,male,bca,5.54,64.1,yes,4.1,good,group study,high,easy,82.1,Pass
12399,24,female,ba,5.9,85.1,no,7.8,poor,online videos,low,moderate,69.1,Pass
12400,24,male,ba,4.87,90.5,yes,4.4,poor,online videos,low,moderate,71.1,Pass
12401,17,female,ba,2.71,67.0,no,9.7,average,group study,medium,easy,55.9,Pass
12402,21,male,bca,7.56,47.0,yes,6.2,good,group study,medium,easy,67.2,Pass
12403,20,female,b.com,2.82,85.7,yes,5.6,average,online videos,high,easy,77.0,Pass
12404,20,female,b.sc,2.34,87.0,yes,4.1,average,group study,low,hard,48.6,Fail
12405,19,female,ba,6.75,56.5,yes,4.1,average,mixed,low,hard,57.8,Pass
12406,21,male,bba,7.48,50.3,yes,9.8,good,self-study,medium,moderate,100.0,Pass
12407,20,female,diploma,7.65,48.5,yes,8.7,poor,mixed,medium,moderate,81.8,Pass
12408,18,other,b.tech,4.27,46.1,yes,9.6,good,group study,medium,moderate,69.6,Pass
12409,19,other,diploma,6.96,57.4,yes,6.3,average,coaching,high,moderate,70.7,Pass
12410,18,female,bca,1.47,83.0,yes,5.8,good,self-study,low,moderate,62.0,Pass
12411,23,male,bba,7.11,57.2,yes,8.4,poor,coaching,high,moderate,70.2,Pass
12412,22,female,b.sc,6.07,90.3,yes,8.1,average,group study,high,easy,100.0,Pass
12413,20,female,b.sc,3.19,60.1,yes,9.7,good,self-study,low,easy,49.3,Fail
12414,20,other,b.com,1.96,82.3,yes,5.3,average,mixed,high,moderate,45.2,Fail
12415,17,female,b.sc,6.08,52.7,yes,7.4,average,self-study,high,easy,85.3,Pass
12416,19,male,bba,3.44,46.9,yes,7.5,average,mixed,high,hard,38.1,Fail
12417,24,other,bca,7.83,54.5,yes,8.3,average,coaching,high,hard,97.7,Pass
12418,17,female,ba,6.84,77.6,yes,9.8,good,coaching,medium,easy,91.2,Pass
12419,18,female,bba,6.32,79.9,yes,9.5,average,self-study,high,moderate,99.7,Pass
12420,23,male,bca,2.67,77.2,yes,8.5,average,mixed,medium,easy,56.1,Pass
12421,21,other,diploma,5.69,65.3,yes,6.3,good,mixed,medium,moderate,78.9,Pass
12422,17,other,bba,6.05,73.6,yes,6.3,good,mixed,medium,moderate,63.7,Pass
12423,20,other,b.sc,3.28,96.5,yes,8.1,average,coaching,low,moderate,73.4,Pass
12424,22,female,b.tech,0.76,44.5,yes,6.2,poor,group study,high,moderate,45.1,Fail
12425,19,female,diploma,5.88,45.0,no,8.5,poor,mixed,medium,hard,84.4,Pass
12426,20,male,bca,2.36,69.6,yes,9.6,good,online videos,medium,easy,73.8,Pass
12427,22,female,bca,1.06,88.1,yes,7.7,good,coaching,medium,moderate,81.9,Pass
12428,21,male,b.com,0.34,92.7,no,7.9,good,mixed,medium,moderate,58.4,Pass
12429,24,female,b.sc,2.62,83.8,no,8.1,good,group study,low,moderate,59.5,Pass
12430,18,other,bba,4.08,53.3,yes,7.7,average,self-study,low,easy,45.9,Fail
12431,19,other,bba,0.31,85.5,yes,7.1,poor,group study,high,hard,32.2,Fail
12432,18,female,b.sc,4.51,53.1,yes,8.8,good,online videos,medium,hard,70.7,Pass
12433,22,other,ba,7.16,40.9,yes,4.5,good,online videos,high,moderate,79.4,Pass
12434,21,female,b.com,4.78,49.1,yes,8.3,poor,online videos,high,moderate,61.2,Pass
12435,19,other,b.sc,4.2,98.1,yes,5.1,poor,self-study,medium,easy,70.5,Pass
12436,22,female,bca,1.86,82.9,yes,8.8,average,online videos,low,easy,39.1,Fail
12437,20,female,ba,3.51,48.8,yes,7.7,poor,mixed,low,moderate,44.1,Fail
12438,18,female,diploma,4.8,58.6,yes,6.5,poor,group study,high,easy,70.0,Pass
12439,21,female,b.tech,6.92,93.0,yes,6.5,poor,online videos,high,easy,70.2,Pass
12440,20,female,diploma,7.05,82.8,yes,5.3,poor,mixed,high,moderate,76.4,Pass
12441,20,other,bba,3.62,54.6,no,6.1,poor,online videos,medium,moderate,54.8,Pass
12442,20,male,bba,1.47,98.6,yes,4.9,good,self-study,high,moderate,50.7,Pass
12443,24,male,b.com,5.66,74.9,yes,6.0,poor,online videos,low,moderate,60.6,Pass
12444,18,female,b.tech,7.6,73.0,yes,6.8,average,group study,low,moderate,65.5,Pass
12445,19,female,b.sc,7.66,75.2,yes,5.3,average,mixed,medium,moderate,77.6,Pass
12446,21,female,ba,7.91,84.0,yes,4.1,average,self-study,low,moderate,100.0,Pass
12447,17,male,b.com,2.02,55.8,yes,8.9,poor,self-study,medium,hard,31.4,Fail
12448,18,other,b.sc,6.7,41.4,yes,8.8,average,online videos,low,moderate,69.9,Pass
12449,21,female,b.tech,0.41,79.0,yes,9.4,average,group study,high,moderate,54.1,Pass
12450,21,female,bba,0.12,68.4,yes,5.0,good,coaching,high,moderate,45.3,Fail
12451,22,other,bba,5.39,88.7,yes,4.8,good,mixed,low,hard,81.6,Pass
12452,17,female,b.sc,0.96,95.6,yes,5.3,average,group study,low,hard,21.4,Fail
12453,23,male,bca,3.11,76.6,yes,4.4,poor,group study,medium,moderate,67.8,Pass
12454,20,other,diploma,0.1,75.7,yes,7.9,good,group study,high,easy,43.7,Fail
12455,18,female,diploma,0.69,78.2,yes,8.0,poor,online videos,medium,hard,28.0,Fail
12456,19,other,b.sc,1.67,44.7,yes,5.6,average,self-study,low,hard,21.0,Fail
12457,18,female,b.com,4.44,61.8,yes,8.3,average,coaching,medium,easy,56.7,Pass
12458,20,male,b.tech,2.66,79.4,yes,5.7,good,group study,low,easy,53.3,Pass
12459,20,female,b.tech,4.51,71.6,yes,8.6,good,self-study,low,moderate,70.7,Pass
12460,20,other,bca,5.19,87.1,yes,5.8,good,online videos,medium,easy,70.0,Pass
12461,20,other,diploma,0.08,47.1,yes,6.6,good,online videos,low,moderate,24.9,Fail
12462,24,male,b.sc,6.78,78.2,yes,9.3,poor,mixed,medium,moderate,96.5,Pass
12463,24,other,ba,0.46,90.4,yes,8.6,good,online videos,low,moderate,45.3,Fail
12464,20,other,b.tech,6.98,79.8,yes,4.9,poor,mixed,medium,hard,83.3,Pass
12465,24,female,bca,7.81,44.6,yes,6.3,average,coaching,high,easy,67.0,Pass
12466,23,male,ba,7.23,79.8,no,5.7,poor,self-study,high,moderate,83.6,Pass
12467,23,female,b.com,4.34,91.0,yes,6.6,average,mixed,low,moderate,67.9,Pass
12468,18,female,diploma,6.16,48.9,yes,5.4,good,group study,high,moderate,72.8,Pass
12469,20,male,b.tech,1.38,77.1,yes,4.2,good,group study,high,easy,36.4,Fail
12470,19,other,b.sc,7.5,69.2,yes,9.6,average,self-study,high,moderate,90.6,Pass
12471,17,female,bca,0.19,53.5,yes,9.7,good,coaching,high,moderate,55.4,Pass
12472,17,male,b.com,4.41,66.5,yes,6.1,good,group study,high,moderate,75.9,Pass
12473,21,female,bba,3.69,65.4,no,7.1,good,coaching,high,moderate,88.4,Pass
12474,20,other,b.sc,6.38,74.3,yes,7.7,good,group study,high,moderate,72.4,Pass
12475,23,female,bba,5.96,84.9,yes,5.3,average,self-study,low,hard,70.6,Pass
12476,22,female,ba,2.64,45.8,yes,8.9,good,online videos,high,moderate,48.2,Fail
12477,17,male,b.tech,1.31,52.1,yes,5.5,poor,online videos,high,easy,52.5,Pass
12478,23,male,b.com,6.35,78.5,yes,5.9,average,online videos,high,easy,77.4,Pass
12479,20,other,b.com,7.82,47.4,yes,4.8,good,mixed,medium,easy,92.8,Pass
12480,21,other,bba,0.78,79.4,yes,4.9,good,coaching,medium,easy,47.2,Fail
12481,24,male,ba,5.86,79.4,yes,7.6,poor,coaching,medium,easy,76.6,Pass
12482,22,female,ba,4.13,60.2,yes,9.8,good,coaching,high,moderate,62.5,Pass
12483,17,other,b.sc,2.5,99.3,yes,4.4,poor,online videos,medium,hard,60.3,Pass
12484,18,other,diploma,0.12,68.4,yes,4.8,good,online videos,low,easy,19.599,Fail
12485,20,female,bca,5.79,97.7,yes,6.6,poor,mixed,high,moderate,82.8,Pass
12486,17,other,bba,1.06,50.7,yes,7.4,poor,coaching,low,moderate,44.5,Fail
12487,18,male,b.sc,6.81,96.1,yes,6.1,good,group study,low,easy,89.0,Pass
12488,23,male,bba,2.12,74.6,no,4.6,poor,mixed,high,easy,28.6,Fail
12489,18,female,b.sc,4.74,99.4,yes,9.3,good,group study,high,easy,84.8,Pass
12490,18,male,ba,2.27,75.9,yes,7.7,average,self-study,low,easy,60.1,Pass
12491,21,other,b.sc,5.62,95.9,yes,9.4,poor,mixed,low,moderate,82.9,Pass
12492,17,female,b.com,0.94,61.0,yes,7.7,average,online videos,medium,easy,37.1,Fail
12493,19,female,bba,2.74,78.0,yes,6.6,poor,group study,low,moderate,36.3,Fail
12494,24,female,b.com,4.07,41.9,yes,6.9,good,group study,medium,easy,60.8,Pass
12495,22,other,bca,4.68,75.0,yes,7.5,poor,coaching,high,hard,70.2,Pass
12496,24,male,ba,4.64,62.5,yes,4.5,poor,coaching,medium,easy,52.2,Pass
12497,19,female,diploma,0.64,89.4,yes,5.6,average,self-study,medium,moderate,41.1,Fail
12498,21,female,b.sc,0.27,69.8,yes,9.2,good,group study,high,moderate,57.6,Pass
12499,18,male,diploma,1.9,71.4,yes,9.9,good,mixed,medium,moderate,54.8,Pass
12500,20,other,b.tech,0.3,99.0,yes,7.3,good,online videos,high,hard,57.1,Pass
12501,18,other,ba,1.76,93.4,yes,7.9,poor,group study,high,moderate,53.2,Pass
12502,23,male,b.com,0.47,95.9,yes,8.6,good,online videos,low,moderate,39.2,Fail
12503,18,other,bca,4.22,50.2,yes,9.6,average,coaching,low,hard,60.2,Pass
12504,18,other,b.tech,0.84,92.8,yes,4.1,average,mixed,high,hard,53.3,Pass
12505,20,other,b.sc,3.32,65.7,yes,8.2,average,mixed,low,easy,57.5,Pass
12506,20,female,b.sc,6.16,91.1,yes,7.3,good,self-study,high,easy,99.7,Pass
12507,19,male,diploma,6.18,70.5,yes,5.0,good,mixed,medium,hard,81.4,Pass
12508,19,male,ba,4.5,80.0,yes,9.5,good,mixed,low,hard,65.0,Pass
12509,19,male,b.sc,0.25,55.0,yes,8.1,good,online videos,low,easy,41.1,Fail
12510,24,male,bca,4.29,51.7,yes,6.3,poor,online videos,low,moderate,39.2,Fail
12511,21,female,b.sc,2.02,73.4,yes,4.2,poor,online videos,low,hard,27.0,Fail
12512,24,male,b.sc,4.55,48.6,yes,7.2,average,online videos,medium,moderate,72.8,Pass
12513,24,other,ba,7.27,77.5,no,9.1,good,self-study,low,moderate,88.6,Pass
12514,22,female,bca,4.79,42.0,yes,9.1,poor,coaching,low,easy,56.1,Pass
12515,23,female,bca,7.52,52.0,yes,9.8,poor,mixed,low,moderate,68.7,Pass
12516,17,male,b.tech,1.67,56.5,yes,5.2,good,coaching,high,easy,65.6,Pass
12517,24,female,diploma,2.15,50.1,yes,8.9,poor,coaching,medium,hard,63.4,Pass
12518,20,other,diploma,1.19,47.1,yes,8.7,poor,self-study,low,easy,38.1,Fail
12519,22,female,b.com,0.63,85.8,no,8.7,poor,coaching,high,hard,65.0,Pass
12520,18,other,ba,0.08,65.1,yes,6.3,poor,self-study,medium,moderate,32.0,Fail
12521,17,male,b.com,7.42,55.3,yes,7.3,average,group study,medium,moderate,61.7,Pass
12522,24,male,ba,3.61,58.3,yes,8.4,good,group study,medium,hard,57.5,Pass
12523,20,female,bba,7.51,87.6,no,4.4,good,coaching,high,easy,100.0,Pass
12524,18,other,bba,6.91,53.6,yes,7.6,poor,mixed,medium,moderate,67.0,Pass
12525,22,other,ba,5.95,85.7,no,8.1,good,mixed,medium,moderate,80.2,Pass
12526,17,other,ba,7.34,83.8,yes,7.0,poor,group study,low,easy,74.6,Pass
12527,20,male,ba,2.11,44.1,yes,9.4,poor,mixed,low,easy,26.3,Fail
12528,22,male,b.com,6.85,94.4,yes,9.0,average,mixed,medium,moderate,74.3,Pass
12529,22,female,b.tech,5.44,73.8,no,9.4,average,online videos,medium,moderate,71.8,Pass
12530,20,other,b.com,4.8,90.3,yes,8.8,poor,mixed,high,easy,82.6,Pass
12531,19,other,bca,4.95,59.1,no,8.1,poor,coaching,low,easy,64.7,Pass
12532,23,male,diploma,7.25,81.4,yes,9.8,poor,online videos,low,easy,98.0,Pass
12533,18,female,bca,7.43,76.1,no,5.9,good,online videos,high,moderate,98.9,Pass
12534,17,female,diploma,1.42,56.2,yes,9.8,poor,online videos,high,moderate,47.3,Fail
12535,18,other,bca,0.65,91.1,yes,5.6,average,coaching,low,moderate,59.4,Pass
12536,23,male,ba,2.18,88.8,yes,5.2,average,coaching,medium,moderate,40.8,Fail
12537,20,other,bba,6.48,80.2,yes,9.2,good,self-study,medium,moderate,68.2,Pass
12538,17,other,bca,0.78,92.1,yes,9.2,good,group study,high,easy,65.6,Pass
12539,18,male,b.sc,5.29,53.1,yes,5.5,average,online videos,low,easy,69.3,Pass
12540,17,other,b.sc,3.19,82.6,yes,6.2,poor,group study,low,easy,33.1,Fail
12541,23,female,b.sc,7.3,57.3,no,4.9,good,self-study,low,hard,55.5,Pass
12542,20,other,ba,6.56,96.4,yes,5.2,poor,online videos,low,moderate,80.3,Pass
12543,17,male,bca,4.06,73.9,yes,6.2,good,group study,high,moderate,70.6,Pass
12544,18,other,ba,3.05,90.9,yes,5.0,good,mixed,high,hard,73.4,Pass
12545,21,male,diploma,6.68,50.8,yes,4.9,average,coaching,low,easy,66.2,Pass
12546,21,male,b.com,1.95,59.1,yes,6.0,good,mixed,high,hard,46.3,Fail
12547,23,female,ba,4.35,85.8,no,8.8,good,online videos,medium,hard,70.3,Pass
12548,17,female,diploma,7.45,61.5,yes,9.3,poor,group study,high,easy,79.6,Pass
12549,17,male,b.sc,4.83,45.4,no,5.7,poor,coaching,medium,moderate,44.0,Fail
12550,17,male,bca,7.44,79.4,no,9.6,average,self-study,low,moderate,68.4,Pass
12551,20,female,b.sc,3.54,46.6,yes,4.1,average,self-study,medium,hard,39.3,Fail
12552,22,male,diploma,5.03,73.3,yes,5.8,good,coaching,medium,moderate,96.9,Pass
12553,22,male,b.com,7.52,90.2,no,7.5,good,group study,low,moderate,79.6,Pass
12554,18,male,bba,5.9,75.0,yes,9.4,poor,group study,high,moderate,78.4,Pass
12555,22,other,bba,7.24,70.0,yes,9.3,average,coaching,high,moderate,93.6,Pass
12556,22,other,b.com,6.66,53.7,yes,8.7,good,self-study,low,moderate,61.9,Pass
12557,18,female,ba,0.62,49.8,yes,6.5,average,mixed,low,moderate,28.3,Fail
12558,22,other,bca,2.07,41.1,yes,9.4,good,coaching,low,easy,51.9,Pass
12559,20,male,diploma,5.93,88.0,yes,4.1,average,mixed,high,moderate,84.3,Pass
12560,17,male,b.tech,7.12,41.8,no,4.2,good,mixed,low,easy,65.1,Pass
12561,20,female,ba,6.42,91.5,yes,8.1,poor,online videos,medium,moderate,87.8,Pass
12562,23,other,bca,2.51,63.8,yes,5.2,poor,self-study,low,moderate,30.9,Fail
12563,22,female,ba,4.97,94.6,no,9.9,poor,group study,high,hard,68.0,Pass
12564,19,other,b.tech,5.29,49.4,yes,7.2,average,group study,medium,hard,81.1,Pass
12565,23,female,b.tech,3.5,88.6,yes,4.9,poor,self-study,low,moderate,50.8,Pass
12566,20,male,bca,4.7,91.9,yes,9.7,poor,self-study,low,hard,56.6,Pass
12567,20,other,b.com,7.89,65.1,yes,5.9,good,self-study,medium,moderate,97.5,Pass
12568,17,female,bba,4.36,99.0,yes,5.7,good,group study,low,moderate,56.0,Pass
12569,24,other,diploma,1.55,52.7,no,4.8,poor,coaching,low,hard,38.8,Fail
12570,23,other,b.tech,4.03,46.7,yes,9.4,average,online videos,medium,easy,38.3,Fail
12571,18,other,ba,1.41,98.3,yes,8.6,poor,self-study,medium,moderate,28.5,Fail
12572,21,other,b.sc,5.51,55.4,no,8.7,average,group study,low,easy,57.2,Pass
12573,23,other,bca,7.22,41.7,yes,6.4,poor,self-study,high,moderate,52.3,Pass
12574,21,female,ba,5.41,63.6,yes,7.8,poor,group study,medium,hard,82.6,Pass
12575,18,male,diploma,7.02,99.4,yes,8.2,average,mixed,high,moderate,92.4,Pass
12576,24,female,b.com,5.82,90.4,yes,9.9,good,mixed,high,moderate,91.1,Pass
12577,19,male,b.sc,3.5,45.8,yes,7.3,good,mixed,high,moderate,61.1,Pass
12578,19,male,diploma,4.31,61.6,yes,5.6,poor,coaching,high,moderate,65.1,Pass
12579,19,female,bba,4.26,72.2,yes,4.7,good,group study,high,easy,69.6,Pass
12580,24,female,b.sc,3.14,87.8,yes,5.5,good,group study,high,moderate,77.0,Pass
12581,21,female,bba,0.74,51.5,yes,4.2,poor,mixed,low,moderate,34.5,Fail
12582,22,female,b.com,5.61,45.5,yes,4.9,good,group study,high,easy,66.3,Pass
12583,24,other,b.tech,0.38,84.0,no,7.1,poor,group study,high,moderate,46.0,Fail
12584,24,male,b.sc,1.63,41.3,no,4.1,poor,self-study,low,hard,33.1,Fail
12585,23,female,bca,3.63,70.9,yes,4.6,poor,group study,low,easy,44.4,Fail
12586,24,male,b.tech,7.9,82.4,yes,4.3,average,online videos,medium,easy,79.6,Pass
12587,24,other,b.com,2.45,80.0,yes,7.2,good,coaching,high,easy,66.9,Pass
12588,24,female,b.sc,6.36,70.6,yes,4.1,good,online videos,medium,moderate,66.4,Pass
12589,22,female,bca,3.36,86.9,yes,7.0,poor,mixed,medium,moderate,64.5,Pass
12590,18,female,diploma,1.77,75.4,yes,7.7,good,online videos,medium,moderate,68.4,Pass
12591,17,other,bca,0.21,89.4,yes,5.3,average,group study,medium,moderate,38.6,Fail
12592,23,female,bca,0.71,74.8,yes,9.5,good,mixed,high,moderate,65.0,Pass
12593,19,other,b.tech,3.33,65.9,yes,9.9,good,self-study,low,easy,69.3,Pass
12594,23,male,diploma,3.2,75.9,yes,9.5,good,online videos,high,moderate,84.1,Pass
12595,24,other,b.sc,5.01,65.5,no,9.4,average,self-study,high,easy,79.2,Pass
12596,22,other,b.com,0.5,52.6,no,4.5,good,group study,medium,moderate,38.6,Fail
12597,23,male,bca,2.27,68.3,yes,6.0,average,self-study,medium,hard,41.8,Fail
12598,19,male,b.sc,0.19,96.9,yes,5.6,good,group study,high,moderate,47.2,Fail
12599,20,other,b.sc,6.98,75.3,yes,5.2,average,group study,low,easy,76.0,Pass
12600,24,female,b.tech,3.18,83.7,no,7.5,poor,group study,medium,moderate,61.4,Pass
